id,skills,location,certification,education,skill_level,work_preference,experience
1,nursing,New York,PALS NRP,Doctorate,intermediate,part-time,9
2,nursing,Houston,NRP BLS ACLS CPR,Doctorate,intermediate,full-time,18
3,nursing,Los Angeles,NRP,Doctorate,entry-level,part-time,14
4,nursing,New York,PALS NRP CPR,Doctorate,intermediate,day shift,25
5,nursing,Chicago,NRP ACLS PALS CPR BLS,Doctorate,entry-level,night shift,28
6,nursing,Chicago,CPR NRP ACLS PALS,Doctorate,intermediate,night shift,26
7,nursing,New York,ACLS NRP,Doctorate,entry-level,day shift,28
8,nursing,Los Angeles,ACLS NRP,Doctorate,advanced,night shift,17
9,nursing,New York,PALS CPR NRP,Doctorate,advanced,day shift,24
10,nursing,Houston,PALS,Doctorate,intermediate,part-time,18
11,nursing,Chicago,CPR BLS NRP,Doctorate,intermediate,day shift,30
12,nursing,Houston,ACLS CPR BLS NRP PALS,Doctorate,intermediate,night shift,10
13,nursing,Los Angeles,ACLS PALS,Doctorate,advanced,full-time,23
14,nursing,Philadelphia,PALS BLS ACLS NRP,Doctorate,entry-level,full-time,20
15,nursing,Houston,NRP CPR PALS,Doctorate,entry-level,full-time,19
16,nursing,Philadelphia,ACLS CPR NRP,Doctorate,advanced,part-time,1
17,nursing,Chicago,NRP CPR BLS PALS,Doctorate,intermediate,full-time,8
18,nursing,Chicago,NRP PALS ACLS CPR,Doctorate,intermediate,full-time,26
19,nursing,Houston,PALS BLS NRP,Doctorate,intermediate,full-time,6
20,nursing,Los Angeles,BLS NRP ACLS PALS,Doctorate,entry-level,day shift,5
21,nursing,New York,CPR ACLS BLS,Doctorate,intermediate,part-time,10
22,nursing,New York,CPR PALS ACLS,Doctorate,entry-level,part-time,14
23,nursing,Los Angeles,NRP BLS CPR ACLS,Doctorate,intermediate,day shift,24
24,nursing,Los Angeles,NRP ACLS PALS CPR BLS,Doctorate,entry-level,night shift,4
25,nursing,Los Angeles,NRP ACLS CPR,Doctorate,intermediate,day shift,2
26,nursing,Los Angeles,CPR BLS,Doctorate,entry-level,part-time,27
27,nursing,Philadelphia,NRP BLS,Doctorate,intermediate,night shift,12
28,nursing,Houston,ACLS,Doctorate,advanced,night shift,22
29,nursing,New York,PALS,Doctorate,entry-level,full-time,27
30,nursing,Chicago,ACLS BLS NRP,Doctorate,entry-level,night shift,24
31,nursing,Houston,CPR NRP ACLS BLS PALS,Doctorate,entry-level,day shift,1
32,nursing,New York,BLS,Doctorate,intermediate,night shift,5
33,nursing,Philadelphia,NRP CPR PALS ACLS,Doctorate,entry-level,part-time,27
34,nursing,Houston,CPR ACLS,Doctorate,intermediate,part-time,30
35,nursing,Houston,CPR NRP,Doctorate,entry-level,night shift,22
36,nursing,Los Angeles,NRP ACLS,Doctorate,entry-level,night shift,22
37,nursing,Los Angeles,BLS NRP,Doctorate,entry-level,day shift,9
38,nursing,New York,CPR BLS,Doctorate,intermediate,day shift,4
39,nursing,Los Angeles,ACLS PALS,Doctorate,advanced,day shift,22
40,nursing,Houston,BLS NRP,Doctorate,entry-level,night shift,12
41,nursing,Chicago,PALS NRP,Doctorate,intermediate,full-time,24
42,nursing,Philadelphia,BLS CPR,Doctorate,advanced,part-time,18
43,nursing,Chicago,BLS PALS NRP,Doctorate,entry-level,night shift,20
44,nursing,New York,NRP CPR,Doctorate,intermediate,part-time,26
45,nursing,Chicago,BLS,Doctorate,advanced,part-time,11
46,nursing,Chicago,ACLS PALS NRP,Doctorate,advanced,full-time,9
